ID	OrganizationName	University/Institue/Hospital/Gov	School/College/Division	Department/Group/Program	Lab		OrganizationAbbreviation	OrganizationAddress	OrganizationCity	OrganizationAdmin1	OrganizationPostalCode	OrganizationCountry	OrganizationCoordinates	OrganizationPhone	OrganizationURL	OrganizationType	MemberOf	Email	TwitterHandle	TwitterHandle	GithubIdentifier	LinkedInURL	RecordUpdatedBy	RecordUpdatedEmail	RecordUpdatedDate	Original MemberOf	MemberOf with Org Name (sort with)		order
138	Biomedical Advanced Research and Development Authority	U.S. Department of Health and Human Services		Office of Assistant Secretary for Preparedness and Response (ASPR)				Assistant Secretary for Preparedness and Response (ASPR), 200 Independence Ave., SW,	Washington	District of Columbia	20201	United States			https://www.phe.gov/about/barda/Pages/default.aspx	Government	U.S. Department of Health and Human Services, Office of Assistant Secretary for Preparedness and Response (ASPR)		@BARDA							U.S. Department of Health and Human Services	U.S. Department of Health and Human Services, Office of Assistant Secretary for Preparedness and Response (ASPR), Biomedical Advanced Research and Development Authority		11
135	Biophysics Branch	U.S. Department of Health and Human Services	National Institutes of Health	National Institute of General Medical Sciences			NIH/NIGMS	Division of Biophysics, Biomedical Technology, and Computational Biosciences, National Institute of General Medical Sciences, National Institutes of Health, 45 Center Drive MSC 6200	Bethesda	Maryland	20892	United States		+1 301 594 1158	https://www.nigms.nih.gov/about/overview/BBCB/Biophysics/Pages/biophysics.aspx	Department	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of General Medical Sciences	preuschp@nigms.nih.gov								National Institutes of Health/National Institute of General Medical Sciences	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of General Medical Sciences, Biophysics Branch		12
42	Biostatistics and Bioinformatics	Emory University	Rollins School of Public Health	Biostatistics and Bioinformatics			BIOS	1518 Clifton Rd. NE	Atlanta	Georgia	30322	United States		+1 404 727 7693	https://www.sph.emory.edu/departments/bios/overview/index.html	Department	Emory University, Rollins School of Public Health	rwaggon@emory.edu								Rollins School of Public Health at Emory University	Emory University, Rollins School of Public Health, Biostatistics and Bioinformatics	Howard Chang, Lance Waller	13
133	Biostatistics Research Branch	U.S. Department of Health and Human Services	National Institutes of Health	National Institute of Allergy and Infectious Diseases				5601 Fishers Lane, MSC 9820	Rockville	Maryland	20892	United States		+1 301 761 7510	https://www.niaid.nih.gov/about/biostatistics-research-branch	Research Section	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of Allergy and Infectious Diseases									U.S. Department of Health and Human Services	U.S. Department of Health and Human Services, National Institutes of Health, National Institute of Allergy and Infectious Diseases, Biostatistics Research Branch		14
80	Bloomberg School of Public Health	Johns Hopkins University	Bloomberg School of Public Health					615 N. Wolfe Street	Baltimore	Maryland	21205	United States			https://www.jhsph.edu/	School	Johns Hopkins University		@JohnsHopkinsSPH							Johns Hopkins University	Johns Hopkins University, Bloomberg School of Public Health	Justin Lessler	15
111	Boni Lab	Penn State University	Eberly College of Science	Department of Biology				Associate Professor of Biology, Millennium Science Complex W-252 	University Park	Pennsylvania	16802	United States		+1 814 867 4651	http://mol.ax/opp/	Lab	Penn State University, Eberly College of Science, Department of Biology	mfb9@psu.edu	@maciekboni								Penn State University, Eberly College of Science, Department of Biology, Boni Lab		16
4	Boston Children's Hospital							300 Longwood Avenue	Boston	Massachusetts	02115	United States		+1 617 355 6000	http://www.childrenshospital.org/	Hospital			@BostonChildrens			https://www.linkedin.com/company/bostonchildrenshospital/					Boston Children's Hospital	Mauricio Santillana	17
7	Boston University							One Siber Way	Boston	Massachusetts	02215	United States		+1 617 353 2000	https://www.bu.edu/	University			@BUTweets								Boston University		18
11	Brandeis University							415 South Street	Waltham	Massachusetts	02453	United States		+1 781 736 2000	https://www.brandeis.edu/	University			@BrandeisU								Brandeis University		19
16	Carneigie Mellon University															University											Carneigie Mellon University		20
62	Center for Commnunicable Disease Dynamics	Harvard University	Harvard T.H. Chan School of Public Health	Center for Commnunicable Disease Dynamics				Center for Communicable Disease Dynamics, Harvard T.H. Chan School of Public Health, Department of Epidemiology, Suite 506, 677 Huntington Avenue	Boston	Massachusetts	02115	United States		+1 617 432 7955	https://ccdd.hsph.harvard.edu/	Center	Harvard University, Harvard T.H. Chan School of Public Health									Harvard T.H. Chan School of Public Health	Harvard University, Harvard T.H. Chan School of Public Health, Center for Commnunicable Disease Dynamics		21
173	Center for the Ecology of Infectious Disease	University of Georgia	Odum School of Ecology	Center for the Ecology of Infectious Disease				140 E. Green St. University of Georgia 	Athens	Georgia	30602	United States			http://ceid.uga.edu/	Department 	University of Georgia, Odum School of Ecology	jdrake@uga.edu								University of Georgia	University of Georgia, Odum School of Ecology, Center for the Ecology of Infectious Disease		22
215	Center for Vaccine Research	University of Pittsburgh	Center for Vaccine Research					9014 Biomedical Science Tower 3, 3501 Fifth Avenue	Pittsburgh	Pennsylvania	15261	United States		+1 412 524 4480	http://cvr.pitt.edu/	Center	University of Pittsburgh		@PittCVR							University of Pittsburgh	University of Pittsburgh, Center for Vaccine Research	Richard Zimmerman	23
19	Centers for Disease Control and Prevention															Government											Centers for Disease Control and Prevention		24
140	Centre for Health Economics Research and Modelling Infectious Diseases 	University of Antwerp					CHERMID	Campus Drie Eiken - Gebouw R, R2.11, Universiteitsplein, 2610 		Antwerpen 		Belgium 		+32 (0)3 256 26 58 	https://www.uantwerpen.be/en/research-groups/chermid/	Center	University of Antwerp	philippe.beutels@uantwerpen.be									University of Antwerp, Centre for Health Economics Research and Modelling Infectious Diseases 		25
238	Civil and Environmental Engineering	University of Washington		Civil and Environmental Engineering			CEE	201 More Hall, Box 352700	Seattle	Washington	98195-2700	United States		+1 206 543 2390	https://www.ce.washington.edu/	Department	University of Washington					https://www.linkedin.com/school/university-of-washington-civil-and-environmental-engineering				University of Washington	University of Washington, Civil and Environmental Engineering	Cynthia Chen	26
22	Clark University							950 Main Street	Worcester	Massachusetts	01610	United States		(508) 793-7711	https://www.clarku.edu/	University			@clarkuniversity	@drake_lab		https://www.linkedin.com/school/clark-university/					Clark University		27
27	Climate and Health Program	Columbia University	Mailman School of Public Health	Climate and Health Program				722 West 168th St. 	New York	New York	10032	United States			https://www.mailman.columbia.edu/research/climate-and-health-program	Department	Columbia University, Mailman School of Public Health	jls106@cumc.columbia.edu								Columbia Mailman School of Public Health	Columbia University, Mailman School of Public Health, Climate and Health Program		28
158	Cobey Lab	University of Chicago	Biological Sciences Division	Department of Ecology and Evolution	Cobey Lab			114 Zoology Building, 1101 E. 57th St.	Chicago	Illinois	60637	United States		+1 773 795 0970	https://cobeylab.uchicago.edu/	Lab	University of Chicago, Biological Sciences Division, Department of Ecology and Evolution	cobey@uchicago.edu	@sarahcobey		cobeylab					University of Chicago	University of Chicago, Biological Sciences Division, Department of Ecology and Evolution, Cobey Lab	Sarah Cobey	29
148	College of Biological Sciences	University of California Davis														College	University of California Davis										University of California Davis, College of Biological Sciences		30
229	College of Natural Sciences	University of Texas at Austin	College of Natural Sciences					Dean's Office, The University of Texas at Austin, 120 Inner Campus Dr Stop G2500	Austin	Texas	78712	United States		+1 512 471 3285	https://cns.utexas.edu/	College	University of Texas at Austin		@texasscience			https://www.linkedin.com/groups/4383842/				University of Texas at Austin	University of Texas at Austin, College of Natural Sciences	Lauren Meyers	31
169	College of Public Health	University of Georgia	College of Public Health					Rhodes Hall, 105 Spear Road, University of Georgia	Athens	Georgia	30602	United States		+1 706 542 2300	https://publichealth.uga.edu/	College	University of Georgia		@publichealthuga							University of Georgia 	University of Georgia, College of Public Health	Steven Bellan	32
164	College of Public Health and Health Professions	University of Florida	College of Public Health and Health Professions					P.O. Box 100185,1225 Center Drive	Gainsville	Florida	32610	United States			https://phhp.ufl.edu/	College	University of Florida		@UFPHHP							University of Florida	University of Florida, College of Public Health and Health Professions	Natalie Dean	33
101	College of Veterinary Medicine	North Carolina State University	College of Veterinary Medicine				CVM	1060 William Moore Drive	Raleigh	North Carolina	27607	United States		+1 919 513 6461	https://cvm.ncsu.edu/	College	North Carolina State University		@NCStateVetMed			https://www.linkedin.com/school/ncstatevetmed/				NC State University	North Carolina State University, College of Veterinary Medicine	Cristina Lanzas	34
174	College of Veterinary Medicine	University of Georgia	Odum School of Ecology					501 D.W. Brooks Drive	Athens	Georgia	30602	United States			https://vet.uga.edu/	College	University of Georgia, Odum School of Ecology		@ugavetmed							Odum School of Ecology at University of Georgia	University of Georgia, Odum School of Ecology, College of Veterinary Medicine		35
24	Columbia University							722 West 168th St.	New York	New York	10032	United States			https://www.columbia.edu/	University											Columbia University		36
5	Computational Health Informatics Program	Boston Children's Hospital		Computational Health Informatics Program			CHIP	Boston Children's Hospital, One Autumn 535, Mail Stop BCH3187, 300 Longwood Avenue	Boston	Massachusetts	02115	United States			https://www.chip.org/	Program	Boston Children's Hospital		@BOS_Chip							Boston Children's Hospital	Boston Children's Hospital, Computational Health Informatics Program	Mauricio Santillana	37
17	Computer Science Department	Carneigie Mellon University		Computer Science Department				500 Forbes Avenue 	Pittsburgh	Pennsylvania	15213	United States		+1 412 268 2565	https://www.csd.cs.cmu.edu/	Department	Carneigie Mellon University									Carneigie Mellon University	Carneigie Mellon University, Computer Science Department		38
31	CZ Biohub															Other											CZ Biohub		39
92	DahariLAB	Loyola University Chicago			DahariLAB			2160 S. First Ave, Mulachy Center, Rm 1610	Maywood	Illinois	60153	United States		+1 708 216-4682	https://www.daharilab.com/	Lab	Loyola University Chicago									Loyola University Chicago	Loyola University Chicago, DahariLAB	Harel Dahari	40
25	Data Science Institute	Columbia University	Data Science Institute					550 W. 120th St., Northwest Corner 1401	New York	New York	10027	United States		+1 212 854 5660	https://datascience.columbia.edu/	Institute	Columbia University	datascience@columbia.edu	@DSI_Columbia			https://www.linkedin.com/company/institute-for-data-sciences-and-engineering-at-columbia-university/				Columbia University	Columbia University, Data Science Institute	Jeffrey Shaman	41
38	De Roode Lab	Emory University		Department of Biology	De Roode Lab			Department of Biology, Emory University, 1510 Clifton Road	Atlanta	Georgia	30322	United States 		+1 404 727 2340	http://www.biology.emory.edu/research/deRoode/index.html	University	Emory University, Department of Biology	jderoode@emory.edu								Emory University	Emory University, Department of Biology, De Roode Lab		42
54	Decision Making and Systems Architecture Laboratory	George Washington University	School of Engineering and Applied Science	Department of Engineering Management & Systems Engineering 	Decision Making and Systems Architecture Laboratory		GW	Department of Engineering Management and Systems Engineering, The George Washington University, Science and Engineering Hall, #2700, 800 22nd St. NW	Washington	District of Columbia	20052	United States		+1 202 994 3751	https://www2.seas.gwu.edu/~broniatowski/index.html	Lab	George Washington University, School of Engineering and Applied Science, Department of Engineering Management & Systems Engineering 										George Washington University, School of Engineering and Applied Science, Department of Engineering Management & Systems Engineering , Decision Making and Systems Architecture Laboratory		43
244	Department of Animal & Poultry Sciences	Virginia Tech		Department of Animal & Poultry Sciences				3470 Litton-Reaves Hall (0306) 175 West Campus Drive, Virginia Tech	Blacksburg	Virginia	24061	United States		+1 540 231 6311	https://www.apsc.vt.edu/	Department	Virginia Tech									Virginia Tech	Virginia Tech, Department of Animal & Poultry Sciences		44
154	Department of Astronomy & Astrophysics	University of California Santa Cruz		Department of Astronomy & Astrophysics				UC Santa Cruz , Department of Astronomy & Astrophysics,1156 High Street MS: UCO / LICK	Santa Cruz	California	95064	United States		+1 831 459 3081	https://www.astro.ucsc.edu/	University	University of California Santa Cruz									University of California Santa Cruz	University of California Santa Cruz, Department of Astronomy & Astrophysics		45
180	Department of Biological Sciences	University of Idaho	Department of Biological Sciences					875 Perimeter Drive MS3051	Moscow	Idaho	83844	United States		+1 208 885 6280	https://www.uidaho.edu/sci/biology	Department	University of Idaho	biosci@uidaho.edu								University of Idaho	University of Idaho, Department of Biological Sciences	Scott Nuismer	46
226	Department of Biological Sciences	University of Southern California		Department of Biological Sciences				University of Southern California, Allan Hancock Foundation Building	Los Angeles	California	90089-0371	United States		+1 213 740 1109	https://dornsife.usc.edu/bisc/	Department	University of Southern California	biodept@dornsife.usc.edu	@USCBioSci							University of Southern California	University of Southern California, Department of Biological Sciences	Fengzhu Sun	47
23	Department of Biology	Clark University		Department of Biology				Cathy '83 and Marc '81 Lasry Center for Biosciences, 15 Maywood Street	Worcester	Massachusetts	01610	United States		+1 508 793 7173	https://www2.clarku.edu/departments/biology/	Department	Clark University		@ClarkUBiology							Clark University	Clark University, Department of Biology	Nathan Ahlgren	48
56	Department of Biology	Georgetown University		Department of Biology				Box 571229, Reiss Science Building, Room 406, 37th and O Streets, NW	Washington	District of Columbia	20057	United States		+1 202 687 6247	https://biology.georgetown.edu/	Department	Georgetown University	biology@georgetown.edu	@GUBiology							Georgetown University	Georgetown University, Department of Biology	Shewta Bansal	49
110	Department of Biology	Penn State University	Eberly College of Science	Department of Biology				208 Mueller Laboratory	University Park	Pennsylvania	16802-5301	United States		+1 814 863 0278	http://bio.psu.edu/	Department	Penn State University, Eberly College of Science									Penn State University	Penn State University, Eberly College of Science, Department of Biology	Matthew Ferrari	50
37	Department of Biology	Emory University						1510 Clifton Rd #2006	Atlanta	Georgia	30322	United States		+ 1 404 727 6292	http://www.biology.emory.edu/	Department	Emory University										Emory University, Department of Biology		51
222	Department of BioMedical Informatics	University of Pittsburgh	School of Medicine	Department of BioMedical Informatics			DBMI	University of Pittsburgh School of Medicine, 5607 Baum Boulevard, Suite 500	Pittsburgh	Pennsylvania	15206-3701	United States		+1 412 624 5100	https://www.dbmi.pitt.edu/	Department	University of Pittsburgh, School of Medicine	dbmiweb@pitt.edu				https://www.linkedin.com/school/pitt-dbmi/				University of Pittsburgh School of Medicine	University of Pittsburgh, School of Medicine, Department of BioMedical Informatics	Jeremy Espino, Wilbert Van Panhuis, Mike Wagner	52
165	Department of Biostatistics	University of Florida		Department of Biostatistics				P.O. Box 117450, 2004 Mowry Road, 5th Floor CTRB	Gainsville	Florida	32611-7450	United States		+1 352 294 5770	http://biostat.ufl.edu/	Department	University of Florida	kcason@ufl.edu	@ufhealth							University of Florida	University of Florida, Department of Biostatistics	Natalie Dean	53
63	Department of Biostatistics	Harvard University	Harvard T.H. Chan School of Public Health	Department of Biostatistics				655 Huntington Avenue, Building 2, 4th Floor	Boston	Massachusetts	02215	United States		+1 617 432 1056	https://www.hsph.harvard.edu/biostatistics/	Department	Harvard University, Harvard T.H. Chan School of Public Health		@HarvardBiostats							Harvard T.H. Chan School of Public Health	Harvard University, Harvard T.H. Chan School of Public Health, Department of Biostatistics	Rui Wang	54
9	Department of Biostatistics	Boston University	School of Public Health	Department of Biostatistics				Crosstown Building, 801 Massachusetts Avenue 3rd Floor	Boston	Massachusetts	02118	United States		+1 617 638 5172	https://www.bu.edu/sph/about/departments/biostatistics/	Department	Boston University, School of Public Health									School of Public Health at Boston University	Boston University, School of Public Health, Department of Biostatistics	Laura F. White	55
217	Department of Biostatistics	University of Pittsburgh	Graduate School of Public Health	Department of Biostatistics				130 De Soto Street	Pittsburgh	Pennsylvania	15261	United States		+1 412 624 3023	https://www.publichealth.pitt.edu/biostatistics?_rdr	Department	University of Pittsburgh, Graduate School of Public Health	biostat@pitt.edu								University of Pittsburgh Graduate School of Public Health	University of Pittsburgh, Graduate School of Public Health, Department of Biostatistics		56
241	Department of Biostatistics	University of Washington	School of Public Health	Department of Biostatistics				Department of Biostatistics, University of Washington Box 357232	Seattle	Washington	98195	United States		+1 206 543 1044	https://www.biostat.washington.edu/	Department	University of Washington, School of Public Health	biostats@uw.edu	@UWBiostat							University of Washington 	University of Washington, School of Public Health, Department of Biostatistics		57
186	Department of Biostatistics and Epidemiology	University of Massachusetts Amherst	School of Public Health and Health Sciences	Department of Biostatistics and Epidemiology				415 Arnold House, School of Public Health and Health Sciences, University of Massachusetts, 715 North Pleasant Street	Amherst	Massachusetts	01003-9304	United States		+1 413 545 4603	https://www.umass.edu/sphhs/biostatistics	Department	University of Massachusetts Amherst, School of Public Health and Health Sciences									School of Public Health and Health Sciences at University of Massachusetts Amherst	University of Massachusetts Amherst, School of Public Health and Health Sciences, Department of Biostatistics and Epidemiology	Nicholas Reich	58
162	Department of Ecology & Evolutionary Biology	University of Colorado Boulder		Department of Ecology & Evolutionary Biology			EBIO	EBIO, Ramaley N122, Campus Box 334, University of Colorado Boulder	Boulder	Colorado	80309	United States		+1 303 492 5530	https://www.colorado.edu/ebio/	Department	University of Colorado Boulder	m.bowers@colorado.edu									University of Colorado Boulder, Department of Ecology & Evolutionary Biology		59
157	Department of Ecology and Evolution	University of Chicago	Biological Sciences Division	Department of Ecology and Evolution				1101 E. 57th Street	Chicago	Illinois	60637	United States			https://pondside.uchicago.edu/ee/index.html	Department	University of Chicago, Biological Sciences Division									Biological Sciences Division at University of Chicago	University of Chicago, Biological Sciences Division, Department of Ecology and Evolution	Sarah Cobey	60
53	Department of Engineering Management & Systems Engineering 	George Washington University	School of Engineering and Applied Science	Department of Engineering Management & Systems Engineering 												Department	George Washington University, School of Engineering and Applied Science										George Washington University, School of Engineering and Applied Science, Department of Engineering Management & Systems Engineering 		61
81	Department of Epidemiology	Johns Hopkins University	Bloomberg School of Public Health	Department of Epidemiology				615 North Wolfe Street, W6030	Baltimore	Maryland	21205	United States		+1 410 955 3227	https://www.jhsph.edu/departments/epidemiology/	Department	Johns Hopkins University, Bloomberg School of Public Health	epihumanresources@jhu.edu								Johns Hopkins Bloomberg School of Public Health	Johns Hopkins University, Bloomberg School of Public Health, Department of Epidemiology	Justin Lessler	62
64	Department of Epidemiology	Harvard University	Harvard T.H. Chan School of Public Health	Department of Epidemiology				677 Huntington Avenue	Boston	Massachusetts	02115	United States		+1 617 432 1050	https://www.hsph.harvard.edu/epidemiology/	Department	Harvard University, Harvard T.H. Chan School of Public Health	epidept@hsph.harvard.edu	@HarvardEpi							Harvard T.H. Chan School of Public Health	Harvard University, Harvard T.H. Chan School of Public Health, Department of Epidemiology	Marc Lipsitch	63
218	Department of Epidemiology	University of Pittsburgh	Graduate School of Public Health	Department of Epidemiology				130 DeSoto Street	Pittsburgh	Pennsylvania	15261	United States		+1 412 624 3056	https://www.publichealth.pitt.edu/epidemiology	Department	University of Pittsburgh, Graduate School of Public Health									University of Pittsburgh Graduate School of Public Health	University of Pittsburgh, Graduate School of Public Health, Department of Epidemiology	Don Burke, Wilbert Van Panhuis	64
194	Department of Epidemiology	University of Michigan	School of Public Health	Department of Epidemiology				1415 Washington Heights	Ann Arbor	Michigan	48109	United States		+1 734 764 5425	https://sph.umich.edu/epid/	Department	University of Michigan, School of Public Health									University of Michigan	University of Michigan, School of Public Health, Department of Epidemiology		65
145	Department of Epidemiology	University of California Berkeley	School of Public Health	Department of Epidemiology				University of California, Berkeley, School of Public Health, 2121 Berkeley Way, Room 5302	Berkeley	California	94720	United States			http://sph.berkeley.edu/areas-study/epidemiology/	Department	University of California Berkeley, School of Public Health									University of California Berkeley School of Public Health	University of California Berkeley, School of Public Health, Department of Epidemiology		66
43	Department of Epidemiology	Emory University	Rollins School of Public Health	Department of Epidemiology			EPI	1518 Clifton Rd. NE	Atlanta	Georgia	30322	United States		+1 404 727 3956	https://www.sph.emory.edu/departments/epi/index.html	Department	Emory University, Rollins School of Public Health									Rollins School of Public Health at Emory University	Emory University, Rollins School of Public Health, Department of Epidemiology	Samuel Jenness, Ben Lopman	67
28	Department of Epidemiology 	Columbia University	Mailman School of Public Health	Department of Epidemiology 				Department of Epidemiology, 722 West 168th St.	New York	New York	10032	United States			https://www.mailman.columbia.edu/academics/departments/epidemiology	University	Columbia University, Mailman School of Public Health									Columbia University Mailman School of Public Health	Columbia University, Mailman School of Public Health, Department of Epidemiology 		68
151	Department of Epidemiology and Biostatistics	University of California San Francisco		Department of Epidemiology and Biostatistics				University of California San Francisco, 550 16th Street, Second Floor	San Francisco	California	94158	United States		(415) 476-2300	https://epibiostat.ucsf.edu/	Department	University of California San Francisco	epibiostat@psg.ucsf.edu	‎@UCSF_Epibiostat							University of California San Francisco	University of California San Francisco, Department of Epidemiology and Biostatistics	Sarah Ackley	69
142	Department of Geography	University of Buffalo 		Department of Geography				105 Wilkeson Quad, Ellicott Complex, North Campus	Buffalo	New York	14261	United States		+1 716 645 2722	http://www.buffalo.edu/cas/geography.html	Department	University of Buffalo 	geog@buffalo.edu								University of Buffalo 	University of Buffalo , Department of Geography	Ling Bian	70
239	Department of Global Health	University of Washington		Department of Global Health				325 9th Avenue (Box 359931)	Seattle	Washington	98104	United States		+1 206 744 8493	https://globalhealth.washington.edu/	Department	University of Washington		@uwgdh							University of Washington	University of Washington, Department of Global Health	Joshua Herbeck	71
10	Department of Global Health	Boston University	School of Public Health				BU	Department of Global Health, 801 Massachusetts Avenue, Crosstown Center, 3rd Floor	Boston	Massachusetts	02118	United States		+1 617 638 5234	https://www.bu.edu/sph/about/departments/global-health/	University	Boston University, School of Public Health	sphgh@bu.edu								Boston University School of Public Health	Boston University, School of Public Health, Department of Global Health		72
74	Department of Global Health	Institut Pasteur														Department	Institut Pasteur										Institut Pasteur, Department of Global Health		73
51	Department of Global Health	George Washington University	Milken Institue School of Public Health	Department of Global Health												Department	George Washington University, Milken Institue School of Public Health										George Washington University, Milken Institue School of Public Health, Department of Global Health		74
166	Department of Health Outcomes and Biomedical Informatics	University of Florida		Department of Health Outcomes and Biomedical Informatics				Department of Health Outcomes and Biomedical Informatics, University of Florida, 2004 Mowry Road	Gainesville	Florida	32610	United States		+1 352 627 9467	https://hobi.med.ufl.edu/	Department	University of Florida									Department of Health Outcomes and Biomedical Informatics	University of Florida, Department of Health Outcomes and Biomedical Informatics		75
219	Department of Health Policy & Management	University of Pittsburgh	Graduate School of Public Health	Department of Health Policy & Management			HPM	130 De Soto Street	Pittsburgh	PA	15216	United States 		+1 412 383 7049	https://www.publichealth.pitt.edu/hpm	Department	University of Pittsburgh, Graduate School of Public Health	borowski@pitt.edu  									University of Pittsburgh, Graduate School of Public Health, Department of Health Policy & Management		76
65	Department of Immunology and Infectious Diseases	Harvard University	Harvard T.H. Chan School of Public Health	Department of Immunology and Infectious Diseases				665 Huntington Avenue, FXB 301	Boston	Massachusetts	02115	United States		+1 617 432 1023	https://www.hsph.harvard.edu/immunology-and-infectious-diseases/	Department	Harvard University, Harvard T.H. Chan School of Public Health	asabarof@hsph.harvard.edu								Harvard T.H. Chan School of Public Health	Harvard University, Harvard T.H. Chan School of Public Health, Department of Immunology and Infectious Diseases	Marc Lipsitch	77
117	Department of Immunology and Microbiology	Scripps Research Institute	Department of Immunology and Microbiology													Department	Scripps Research Institute										Scripps Research Institute, Department of Immunology and Microbiology		78
85	Department of Infectious Disease Epidemiology	London School of Hygeine & Tropical Medicine		Department of Infectious Disease Epidemiology				London School of Hygeine & Tropical Medicine, Keppel Street	London		WC1E 7HT	United Kingdom		44 (0) 20 7927 2272	https://www.lshtm.ac.uk/research/faculties/eph/ide	Department	London School of Hygeine & Tropical Medicine									London School of Hygeine & Tropical Medicine	London School of Hygeine & Tropical Medicine, Department of Infectious Disease Epidemiology	Kaja Abbas	79
175	Department of Infectious Disease Epidemiology	University of Georgia	Odum School of Ecology, College of Veterinary Medicine	Department of Infectious Disease Epidemiology				501 D.W. Brooks Drive	Athens	Georgia	30602	United States		+1 706 542 3473	https://vet.uga.edu/id	Department	University of Georgia, Odum School of Ecology, College of Veterinary Medicine	idadmin@uga.edu								College of Veterinary Medicine, Odum School of Ecology at University of Georgia	University of Georgia, Odum School of Ecology, College of Veterinary Medicine, Department of Infectious Disease Epidemiology	Andrew Park, Pejman Rohani	80
230	Department of Integrative Biology	University of Texas at Austin	College of Natural Sciences	Department of Integrative Biology			UT	Department of Integrative Biology, The University of Texas at Austin, 2415 Speedway #C0930	Austin	Texas	78712	United States		+1 512 471 5858	https://integrativebio.utexas.edu/	Department	University of Texas at Austin, College of Natural Sciences		@texas_IB								University of Texas at Austin, College of Natural Sciences, Department of Integrative Biology		81
78	Department of Internal Medicine Sciences	Istanbul Medeniyet University		Department of Internal Medicine Sciences				Ünalan Mah. Ünalan Sok., D-100 Karayolu yanyol	Üsküdar		34700	Turkey		0216 2803333	https://tip.medeniyet.edu.tr/en	Department	Istanbul Medeniyet University									Department of Internal Medicine Sciences	Istanbul Medeniyet University, Department of Internal Medicine Sciences		82
124	Department of Mathematics	Tulane University														Department	Tulane University										Tulane University, Department of Mathematics		83
